image_path,imdb_score,score_range,main_actor,popularity
poster_images/poster_images/Superman.jpg,0.0,0–1,,15.0
poster_images/poster_images/The_Conjuring_Last_Rites.jpg,0.0,0–1,,15.0
poster_images/poster_images/Ligaw.jpg,0.0,0–1,,15.0
poster_images/poster_images/El_Cas_Àngelus_La_fascinació_de_Dalí.jpg,0.0,0–1,,15.0
poster_images/poster_images/Jurassic_World_Rebirth.jpg,0.0,0–1,,15.0
poster_images/poster_images/Betray_Thirst.jpg,0.0,0–1,,15.0
poster_images/poster_images/From_the_World_of_John_Wick_Ballerina.jpg,0.0,0–1,,15.0
poster_images/poster_images/F1_The_Movie.jpg,0.0,0–1,,15.0
poster_images/poster_images/Avengers_Doomsday.jpg,0.0,0–1,,15.0
poster_images/poster_images/Fast_X_Part_2.jpg,0.0,0–1,,15.0
poster_images/poster_images/The_Jowa_Collector.jpg,0.0,0–1,,15.0
poster_images/poster_images/Nobody_2.jpg,0.0,0–1,,15.0
poster_images/poster_images/The_Bad_Guys_2.jpg,0.0,0–1,,15.0
poster_images/poster_images/The_Fantastic_Four_First_Steps.jpg,0.0,0–1,,15.0
poster_images/poster_images/The_Old_Guard_2.jpg,0.0,0–1,,15.0
poster_images/poster_images/Rapsa.jpg,0.0,0–1,,15.0
poster_images/poster_images/Girls_Will_Be_Girls.jpg,0.0,0–1,,15.0
poster_images/poster_images/28_Years_Later.jpg,0.0,0–1,,15.0
poster_images/poster_images/Materialists.jpg,0.0,0–1,,15.0
poster_images/poster_images/Demon_Slayer_Kimetsu_no_Yaiba_Infinity_Castle.jpg,0.0,0–1,,15.0
poster_images/poster_images/Rockbottom.jpg,0.0,0–1,,15.0
poster_images/poster_images/Koya_Choken-bou_oboegaki.jpg,0.0,0–1,,15.0
poster_images/poster_images/The_Phoenician_Scheme.jpg,0.0,0–1,,15.0
poster_images/poster_images/Female_Workers_Romance_at_Work_3.jpg,0.0,0–1,,15.0
poster_images/poster_images/Kelas_Bintang_-_Staycation.jpg,0.0,0–1,,15.0
poster_images/poster_images/Smurfs.jpg,0.0,0–1,,15.0
poster_images/poster_images/Wicked_For_Good.jpg,0.0,0–1,,15.0
poster_images/poster_images/Taxali_Gate.jpg,0.0,0–1,,15.0
poster_images/poster_images/M3GAN_20.jpg,0.0,0–1,,15.0
poster_images/poster_images/Elio.jpg,0.0,0–1,,15.0
poster_images/poster_images/Now_You_See_Me_Now_You_Dont.jpg,0.0,0–1,,15.0
poster_images/poster_images/Bring_Her_Back.jpg,0.0,0–1,,15.0
poster_images/poster_images/Weapons.jpg,0.0,0–1,,15.0
poster_images/poster_images/Kryptic.jpg,0.0,0–1,,15.0
poster_images/poster_images/Avatar_Fire_and_Ash.jpg,0.0,0–1,,15.0
poster_images/poster_images/Eddington.jpg,0.0,0–1,,15.0
poster_images/poster_images/Avengers_Secret_Wars.jpg,0.0,0–1,,15.0
poster_images/poster_images/The_Old_Woman_with_the_Knife.jpg,0.0,0–1,,15.0
poster_images/poster_images/The_Hunger_Games_Sunrise_on_the_Reaping.jpg,0.0,0–1,,15.0
poster_images/poster_images/Whindersson_Nunes_Isso_Definitivamente_Não_É_Um_Culto.jpg,0.0,0–1,,15.0
poster_images/poster_images/Ang_Pamumukadkad_Ni_Mirasol.jpg,0.0,0–1,,15.0
poster_images/poster_images/Nephilim.jpg,0.0,0–1,,15.0
poster_images/poster_images/Syirik.jpg,0.0,0–1,,15.0
poster_images/poster_images/Five_Nights_at_Freddys_2.jpg,0.0,0–1,,15.0
poster_images/poster_images/Menantu_dan_Mertua.jpg,0.0,0–1,,15.0
poster_images/poster_images/My_Future_You.jpg,0.0,0–1,,15.0
poster_images/poster_images/Delicious_Tutor.jpg,0.0,0–1,,15.0
poster_images/poster_images/Female_Wars_The_Man_Who_Moved_In.jpg,0.0,0–1,,15.0
poster_images/poster_images/Die_My_Love.jpg,0.0,0–1,,15.0
poster_images/poster_images/Zootopia_2.jpg,0.0,0–1,,15.0
poster_images/poster_images/El_Conjuro_Siniestro.jpg,0.0,0–1,,15.0
poster_images/poster_images/Predator_Badlands.jpg,0.0,0–1,,15.0
poster_images/poster_images/The_Long_Walk.jpg,0.0,0–1,,15.0
poster_images/poster_images/Warlord.jpg,0.0,0–1,,15.0
poster_images/poster_images/Shrek_5.jpg,0.0,0–1,,15.0
poster_images/poster_images/TRON_Ares.jpg,0.0,0–1,,15.0
poster_images/poster_images/Spider-Man_Brand_New_Day.jpg,0.0,0–1,,15.0
poster_images/poster_images/Sonic_the_Hedgehog_4.jpg,0.0,0–1,,15.0
poster_images/poster_images/Mobil_Goyang.jpg,0.0,0–1,,15.0
poster_images/poster_images/F-Buddies.jpg,0.0,0–1,,15.0
poster_images/poster_images/Asebamu_Akahadaka_Tsuma.jpg,0.0,0–1,,15.0
poster_images/poster_images/Naturally_Naughty.jpg,0.0,0–1,,15.0
poster_images/poster_images/STW.jpg,0.0,0–1,,15.0
poster_images/poster_images/The_Naked_Gun.jpg,0.0,0–1,,15.0
poster_images/poster_images/Fountain_of_Youth.jpg,0.0,0–1,,15.0
