image_path,imdb_score,file_exists,title,DetectedLanguage
poster_images/Dracula_Dead_and_Loving_It_1995_.jpg,5.8,True,Dracula Dead and Loving It,en
poster_images/Balto_1995_.jpg,7.1,True,Balto,it
poster_images/Nixon_1995_.jpg,7.1,True,Nixon,ca
poster_images/Cutthroat_Island_1995_.jpg,5.6,True,Cutthroat Island,en
poster_images/Casino_1995_.jpg,8.2,True,Casino,pt
poster_images/Sense_and_Sensibility_1995_.jpg,7.7,True,Sense and Sensibility,en
poster_images/Four_Rooms_1995_.jpg,6.7,True,Four Rooms,nl
poster_images/Ace_Ventura_When_Nature_Calls_1995_.jpg,6.3,True,Ace Ventura When Nature Calls,en
poster_images/Money_Train_1995_.jpg,5.6,True,Money Train,en
poster_images/Get_Shorty_1995_.jpg,6.9,True,Get Shorty,en
poster_images/Copycat_1995_.jpg,6.6,True,Copycat,en
poster_images/Powder_1995_.jpg,6.5,True,Powder,pl
poster_images/Leaving_Las_Vegas_1995_.jpg,7.6,True,Leaving Las Vegas,et
poster_images/Now_and_Then_1995_.jpg,6.8,True,Now and Then,en
poster_images/Persuasion.jpg,7.7,True,Persuasion.jpg,id
poster_images/The_City_of_Lost_Children_1995_.jpg,7.7,True,The City of Lost Children,en
poster_images/Dangerous_Minds_1995_.jpg,6.4,True,Dangerous Minds,af
poster_images/Twelve_Monkeys_1995_.jpg,8.0,True,Twelve Monkeys,nl
poster_images/Wings_of_Courage_1995_.jpg,6.5,True,Wings of Courage,en
poster_images/Babe_1995_.jpg,6.8,True,Babe,so
poster_images/Carrington_1995_.jpg,6.9,True,Carrington,en
poster_images/Dead_Man_Walking_1995_.jpg,7.6,True,Dead Man Walking,so
poster_images/Across_the_Sea_of_Time_1995_.jpg,6.4,True,Across the Sea of Time,en
poster_images/It_Takes_Two_1995_.jpg,5.7,True,It Takes Two,en
poster_images/Richard_III_1995_.jpg,7.5,True,Richard III,de
poster_images/Restoration_1995_.jpg,6.7,True,Restoration,en
poster_images/Mortal_Kombat_1995_.jpg,5.8,True,Mortal Kombat,id
poster_images/To_Die_For_1995_.jpg,6.8,True,To Die For,de
poster_images/Se7en_1995_.jpg,8.6,True,Se7en,es
poster_images/Pocahontas_1995_.jpg,6.7,True,Pocahontas,pt
poster_images/When_Night_Is_Falling_1995_.jpg,6.7,True,When Night Is Falling,en
poster_images/Mighty_Aphrodite_1995_.jpg,7.1,True,Mighty Aphrodite,en
poster_images/Georgia_1995_.jpg,6.5,True,Georgia,ro
poster_images/Kids_of_the_Round_Table_1995_.jpg,5.0,True,Kids of the Round Table,en
poster_images/Home_for_the_Holidays_1995_.jpg,6.6,True,Home for the Holidays,en
poster_images/Il_Postino_The_Postman_1994_.jpg,7.7,True,Il Postino The Postman,it
poster_images/Le_confessionnal_1995_.jpg,7.6,True,Le confessionnal,fr
poster_images/The_Indian_in_the_Cupboard_1995_.jpg,5.9,True,The Indian in the Cupboard,en
poster_images/Eye_for_an_Eye_1996_.jpg,6.1,True,Eye for an Eye,en
poster_images/Mr._Holland_s_Opus_1995_.jpg,7.3,True,Mr. Holland s Opus,en
poster_images/Don_t_Be_a_Menace_to_South_Central_While_Drinking_Your_Juice_in_the_Hood_1996_.jpg,6.6,True,Don t Be a Menace to South Central While Drinking Your Juice in the Hood,en
poster_images/Bio-Dome_1996_.jpg,4.4,True,Bio-Dome,it
poster_images/Lawnmower_Man_2_Beyond_Cyberspace_1996_.jpg,2.4,True,Lawnmower Man 2 Beyond Cyberspace,en
poster_images/Two_Bits_1995_.jpg,6.3,True,Two Bits,en
poster_images/Friday_1995_.jpg,7.3,True,Friday,tr
poster_images/From_Dusk_Till_Dawn_1996_.jpg,7.3,True,From Dusk Till Dawn,sv
poster_images/Les_mis_rables_1995_.jpg,7.5,True,Les mis rables,fr
poster_images/Bed_of_Roses_1996_.jpg,6.1,True,Bed of Roses,en
poster_images/Big_Bully_1996_.jpg,4.5,True,Big Bully,cy
poster_images/Screamers_1995_.jpg,6.4,True,Screamers,en
poster_images/Nico_Icon_1995_.jpg,7.3,True,Nico Icon,it
poster_images/The_Crossing_Guard_1995_.jpg,6.3,True,The Crossing Guard,en
poster_images/The_Juror_1996_.jpg,5.6,True,The Juror,en
poster_images/The_White_Balloon_1995_.jpg,7.8,True,The White Balloon,en
poster_images/Things_to_Do_in_Denver_When_You_re_Dead_1995_.jpg,6.8,True,Things to Do in Denver When You re Dead,en
poster_images/Antonia_s_Line_1995_.jpg,7.5,True,Antonia s Line,en
poster_images/Once_Upon_a_Time..._When_We_Were_Colored_1995_.jpg,7.2,True,Once Upon a Time... When We Were Colored,en
poster_images/Last_Summer_in_the_Hamptons_1995_.jpg,6.1,True,Last Summer in the Hamptons,en
poster_images/Angels_and_Insects_1995_.jpg,7.0,True,Angels and Insects,en
poster_images/White_Squall_1996_.jpg,6.6,True,White Squall,en
poster_images/Dunston_Checks_In_1996_.jpg,5.3,True,Dunston Checks In,de
poster_images/Nick_of_Time_1995_.jpg,6.3,True,Nick of Time,en
poster_images/The_Journey_of_August_King_1995_.jpg,6.6,True,The Journey of August King,en
poster_images/Vampire_in_Brooklyn_1995_.jpg,4.5,True,Vampire in Brooklyn,af
poster_images/Beautiful_Girls_1996_.jpg,7.2,True,Beautiful Girls,ro
poster_images/Broken_Arrow_1996_.jpg,6.0,True,Broken Arrow,nl
poster_images/Shopping_1994_.jpg,5.4,True,Shopping,tl
poster_images/Heidi_Fleiss_Hollywood_Madam_1995_.jpg,6.6,True,Heidi Fleiss Hollywood Madam,cy
poster_images/Nobody_Loves_Me_1994_.jpg,7.3,True,Nobody Loves Me,sk
poster_images/Muppet_Treasure_Island_1996_.jpg,6.9,True,Muppet Treasure Island,en
poster_images/Catwalk_1995_.jpg,6.4,True,Catwalk,so
poster_images/Headless_Body_in_Topless_Bar_1995_.jpg,4.7,True,Headless Body in Topless Bar,en
poster_images/Braveheart_1995_.jpg,8.4,True,Braveheart,en
poster_images/Rumble_in_the_Bronx_1995_.jpg,6.7,True,Rumble in the Bronx,en
poster_images/Before_and_After_1996_.jpg,6.1,True,Before and After,en
poster_images/Margaret_s_Museum_1995_.jpg,7.3,True,Margaret s Museum,fr
poster_images/Happiness_Is_in_the_Field_1995_.jpg,7.0,True,Happiness Is in the Field,en
poster_images/Steal_Big_Steal_Little_1995_.jpg,4.8,True,Steal Big Steal Little,en
poster_images/Race_the_Sun_1996_.jpg,5.3,True,Race the Sun,en
poster_images/The_Boys_of_St._Vincent_1992_.jpg,7.7,True,The Boys of St. Vincent,en
poster_images/Boomerang_1992_.jpg,5.4,True,Boomerang,id
poster_images/Chungking_Express_1994_.jpg,8.1,True,Chungking Express,tl
poster_images/Flirting_with_Disaster_1996_.jpg,6.8,True,Flirting with Disaster,en
poster_images/Jupiter_s_Wife_1995_.jpg,7.2,True,Jupiter s Wife,en
poster_images/Pie_in_the_Sky_1996_.jpg,5.8,True,Pie in the Sky,en
poster_images/Angela_1995_.jpg,6.4,True,Angela,tl
poster_images/Frankie_Starlight_1995_.jpg,6.7,True,Frankie Starlight,af
poster_images/Sonic_Outlaws_1995_.jpg,7.3,True,Sonic Outlaws,en
poster_images/Down_Periscope_1996_.jpg,6.0,True,Down Periscope,en
poster_images/From_the_Journals_of_Jean_Seberg_1995_.jpg,7.1,True,From the Journals of Jean Seberg,en
poster_images/Man_of_the_Year_1995_.jpg,6.1,True,Man of the Year,en
poster_images/The_Birdcage_1996_.jpg,7.0,True,The Birdcage,en
poster_images/The_Basketball_Diaries_1995_.jpg,7.3,True,The Basketball Diaries,en
poster_images/An_Awfully_Big_Adventure_1995_.jpg,6.0,True,An Awfully Big Adventure,en
poster_images/Apollo_13_1995_.jpg,7.6,True,Apollo 13,it
poster_images/Rob_Roy_1995_.jpg,6.9,True,Rob Roy,en
poster_images/The_Addiction_1995_.jpg,6.4,True,The Addiction,en
poster_images/Belle_de_Jour_1967_.jpg,7.8,True,Belle de Jour,fr
poster_images/Beyond_Rangoon_1995_.jpg,6.6,True,Beyond Rangoon,tl
poster_images/Canadian_Bacon_1995_.jpg,5.9,True,Canadian Bacon,es
poster_images/Casper_1995_.jpg,6.0,True,Casper,ca
poster_images/Clockers_1995_.jpg,6.9,True,Clockers,sv
poster_images/Congo_1995_.jpg,5.1,True,Congo,tl
poster_images/Crimson_Tide_1995_.jpg,7.3,True,Crimson Tide,en
poster_images/Desperado_1995_.jpg,7.2,True,Desperado,es
poster_images/Die_Hard_with_a_Vengeance_1995_.jpg,7.6,True,Die Hard with a Vengeance,en
poster_images/The_Doom_Generation_1995_.jpg,5.9,True,The Doom Generation,en
poster_images/Feast_of_July_1995_.jpg,6.4,True,Feast of July,en
poster_images/First_Knight_1995_.jpg,5.9,True,First Knight,en
poster_images/Free_Willy_2_The_Adventure_Home_1995_.jpg,4.9,True,Free Willy 2 The Adventure Home,en
poster_images/Hackers_1995_.jpg,6.2,True,Hackers,sv
poster_images/Jeffrey_1995_.jpg,6.7,True,Jeffrey,cy
poster_images/Johnny_Mnemonic_1995_.jpg,5.6,True,Johnny Mnemonic,pl
poster_images/Judge_Dredd_1995_.jpg,5.5,True,Judge Dredd,da
poster_images/Jury_Duty_1995_.jpg,4.1,True,Jury Duty,en
poster_images/Kids_1995_.jpg,7.0,True,Kids,da
poster_images/Living_in_Oblivion_1995_.jpg,7.6,True,Living in Oblivion,en
poster_images/Lord_of_Illusions_1995_.jpg,6.0,True,Lord of Illusions,en
poster_images/Love_Human_Remains_1993_.jpg,6.7,True,Love Human Remains,en
poster_images/Mad_Love_1995_.jpg,5.3,True,Mad Love,sl
poster_images/Mallrats_1995_.jpg,7.2,True,Mallrats,ca
poster_images/Mighty_Morphin_Power_Rangers_The_Movie_1995_.jpg,5.1,True,Mighty Morphin Power Rangers The Movie,en
poster_images/Moonlight_and_Valentino_1995_.jpg,5.8,True,Moonlight and Valentino,en
poster_images/Mute_Witness_1995_.jpg,6.8,True,Mute Witness,de
poster_images/Nadja_1994_.jpg,6.0,True,Nadja,hr
poster_images/The_Net_1995_.jpg,5.9,True,The Net,en
poster_images/Reckless_1995_.jpg,5.1,True,Reckless,de
poster_images/The_Scarlet_Letter_1995_.jpg,5.2,True,The Scarlet Letter,en
poster_images/The_Show_1995_.jpg,6.8,True,The Show,en
poster_images/Showgirls_1995_.jpg,4.6,True,Showgirls,en
poster_images/Smoke_1995_.jpg,7.4,True,Smoke,sl
poster_images/Something_to_Talk_About_1995_.jpg,5.7,True,Something to Talk About,en
poster_images/Species_1995_.jpg,5.8,True,Species,pl
poster_images/The_Stars_Fell_on_Henrietta_1995_.jpg,6.5,True,The Stars Fell on Henrietta,en
poster_images/The_Umbrellas_of_Cherbourg_1964_.jpg,7.8,True,The Umbrellas of Cherbourg,en
poster_images/The_Tie_That_Binds_1995_.jpg,5.0,True,The Tie That Binds,en
poster_images/Three_Wishes_1995_.jpg,6.2,True,Three Wishes,en
poster_images/Total_Eclipse_1995_.jpg,6.6,True,Total Eclipse,ca
poster_images/To_Wong_Foo_Thanks_for_Everything_Julie_Newmar_1995_.jpg,6.4,True,To Wong Foo Thanks for Everything Julie Newmar,en
