Title,Poster URL,Detected Language,Line 1,Line 2,Line 3,Error
Central Station,https://m.media-amazon.com/images/M/MV5BOGFiNWMzZTUtNDI5OS00MjFlLThkNzctYjg2OGJlM2U1NjIyXkEyXkFqcGc@.jpg,en,STATION,CENTRAL,looking for the father he never knew,
Savior,https://m.media-amazon.com/images/M/MV5BMGFjNTZiNzItZjAwYS00NTc3LWI0YjgtYjIxMGQ3OTIxY2Y3XkEyXkFqcGc@.jpg,it,SAVIO R,N N [ $,Pe is worth fighting for_,
Waking Ned Devine,https://m.media-amazon.com/images/M/MV5BNTBjYzBjMTktYTA1My00NjUzLTg3NmMtY2U2MzM2MTdiMzg5XkEyXkFqcGc@.jpg,nl,Vakıng,Ved,,
Pink Flamingos,https://m.media-amazon.com/images/M/MV5BNTU0NGZjN2MtOWNmNi00YmJhLWEyZWEtNWVkYTFkMjc1ZmUyXkEyXkFqcGc@.jpg,tl,POOR TASTE,Starring:DIVINE,Mink Stole   and introducing Danny Mills,
Gojira,https://m.media-amazon.com/images/M/MV5BMjc5MjllMGUtMDIwMS00ZDVkLWEzODQtM2NlMTMwMTZhNThmXkEyXkFqcGc@.jpg,hr,Minus CNE,godzillafilm.co.uk,DECEMBER I5TH,
Godzilla 1985,https://m.media-amazon.com/images/M/MV5BNjVjYzM0MDAtMGU1Yy00ZmUwLTk2Y2MtNWQyY2I1NWFjNzRjXkEyXkFqcGc@.jpg,pl,1985,THE LEGEND IS REBORN,SORE!,
King Kong,https://m.media-amazon.com/images/M/MV5BMWY0NWE0ZjUtNjRlOS00ZDViLTgxNTQtMGMwN2FhNDY1YTg2XkEyXkFqcGc@.jpg,tl,KING KONG,Coli Hanks,ADRIEN BRODY,
King Kong Lives,https://m.media-amazon.com/images/M/MV5BYjJlZjI4YjMtZGY4ZS00Y2IwLWEyOGEtODkyOTA0OWEyOWU3XkEyXkFqcGc@.jpg,tl,happy,Americas Biggest Hero,DG,
Desperately Seeking Susan,https://m.media-amazon.com/images/M/MV5BYjNjODA0YmEtNmQ1Yy00OTZjLWE0MmUtMTYzY2ZmZGViNzQ3XkEyXkFqcGc@.jpg,af,Its alife so outrageous,SUSAN,ittakes two women tolive it,
Fletch,https://m.media-amazon.com/images/M/MV5BYmM2MDEyMjQtOGQwYS00M2NjLWIwODgtYzRmYjQ5ZDMxZDEyXkEyXkFqcGc@.jpg,de,Fech,theonlyguy whochanges hisidentity,moreoftenthan his underwear:,
Fletch Lives,https://m.media-amazon.com/images/M/MV5BY2Q4NWE4NjQtZGEyZS00ZWFiLWFlZjUtNDc4NzlkMGQwMTVjXkEyXkFqcGc@.jpg,en,[ethLives,CHEVY CHASE,man for the job:,
