image_path,imdb_score,file_exists
poster_images/Dracula_Dead_and_Loving_It_1995_.jpg,5.8,True
poster_images/Balto_1995_.jpg,7.1,True
poster_images/Nixon_1995_.jpg,7.1,True
poster_images/Cutthroat_Island_1995_.jpg,5.6,True
poster_images/Casino_1995_.jpg,8.2,True
poster_images/Sense_and_Sensibility_1995_.jpg,7.7,True
poster_images/Four_Rooms_1995_.jpg,6.7,True
poster_images/Ace_Ventura_When_Nature_Calls_1995_.jpg,6.3,True
poster_images/Money_Train_1995_.jpg,5.6,True
poster_images/Get_Shorty_1995_.jpg,6.9,True
poster_images/Copycat_1995_.jpg,6.6,True
poster_images/Powder_1995_.jpg,6.5,True
poster_images/Leaving_Las_Vegas_1995_.jpg,7.6,True
poster_images/Now_and_Then_1995_.jpg,6.8,True
poster_images/Persuasion.jpg,7.7,True
poster_images/The_City_of_Lost_Children_1995_.jpg,7.7,True
poster_images/Dangerous_Minds_1995_.jpg,6.4,True
poster_images/Twelve_Monkeys_1995_.jpg,8.0,True
poster_images/Wings_of_Courage_1995_.jpg,6.5,True
poster_images/Babe_1995_.jpg,6.8,True
poster_images/Carrington_1995_.jpg,6.9,True
poster_images/Dead_Man_Walking_1995_.jpg,7.6,True
poster_images/Across_the_Sea_of_Time_1995_.jpg,6.4,True
poster_images/It_Takes_Two_1995_.jpg,5.7,True
poster_images/Richard_III_1995_.jpg,7.5,True
poster_images/Restoration_1995_.jpg,6.7,True
poster_images/Mortal_Kombat_1995_.jpg,5.8,True
poster_images/To_Die_For_1995_.jpg,6.8,True
poster_images/Se7en_1995_.jpg,8.6,True
poster_images/Pocahontas_1995_.jpg,6.7,True
poster_images/When_Night_Is_Falling_1995_.jpg,6.7,True
poster_images/Mighty_Aphrodite_1995_.jpg,7.1,True
poster_images/Georgia_1995_.jpg,6.5,True
poster_images/Kids_of_the_Round_Table_1995_.jpg,5.0,True
poster_images/Home_for_the_Holidays_1995_.jpg,6.6,True
poster_images/Il_Postino_The_Postman_1994_.jpg,7.7,True
poster_images/Le_confessionnal_1995_.jpg,7.6,True
poster_images/The_Indian_in_the_Cupboard_1995_.jpg,5.9,True
poster_images/Eye_for_an_Eye_1996_.jpg,6.1,True
poster_images/Mr._Holland_s_Opus_1995_.jpg,7.3,True
poster_images/Don_t_Be_a_Menace_to_South_Central_While_Drinking_Your_Juice_in_the_Hood_1996_.jpg,6.6,True
poster_images/Bio-Dome_1996_.jpg,4.4,True
poster_images/Lawnmower_Man_2_Beyond_Cyberspace_1996_.jpg,2.4,True
poster_images/Two_Bits_1995_.jpg,6.3,True
poster_images/Friday_1995_.jpg,7.3,True
poster_images/From_Dusk_Till_Dawn_1996_.jpg,7.3,True
poster_images/Les_mis_rables_1995_.jpg,7.5,True
poster_images/Bed_of_Roses_1996_.jpg,6.1,True
poster_images/Big_Bully_1996_.jpg,4.5,True
poster_images/Screamers_1995_.jpg,6.4,True
poster_images/Nico_Icon_1995_.jpg,7.3,True
poster_images/The_Crossing_Guard_1995_.jpg,6.3,True
poster_images/The_Juror_1996_.jpg,5.6,True
poster_images/The_White_Balloon_1995_.jpg,7.8,True
poster_images/Things_to_Do_in_Denver_When_You_re_Dead_1995_.jpg,6.8,True
poster_images/Antonia_s_Line_1995_.jpg,7.5,True
poster_images/Once_Upon_a_Time..._When_We_Were_Colored_1995_.jpg,7.2,True
